"","Entity","Date","Total.confirmed.deaths..deaths.","Total.confirmed.cases..cases.","PopTotal","Code","PerCapita.Death","PerCapita.Infection","Death.Rate"
"232","Antigua and Barbuda",2020-04-02,0,7,97928,"ATG",0,7.14810881463933e-05,0
"233","Antigua and Barbuda",2020-03-25,0,3,97928,"ATG",0,3.063475206274e-05,0
"234","Antigua and Barbuda",2020-04-04,0,15,97928,"ATG",0,0.0001531737603137,0
"235","Antigua and Barbuda",2020-04-20,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"236","Antigua and Barbuda",2020-04-07,0,15,97928,"ATG",0,0.0001531737603137,0
"237","Antigua and Barbuda",2020-03-24,0,1,97928,"ATG",0,1.02115840209133e-05,0
"238","Antigua and Barbuda",2020-03-23,0,1,97928,"ATG",0,1.02115840209133e-05,0
"239","Antigua and Barbuda",2020-03-22,0,1,97928,"ATG",0,1.02115840209133e-05,0
"240","Antigua and Barbuda",2020-04-01,0,7,97928,"ATG",0,7.14810881463933e-05,0
"241","Antigua and Barbuda",2020-03-30,0,7,97928,"ATG",0,7.14810881463933e-05,0
"242","Antigua and Barbuda",2020-04-03,0,9,97928,"ATG",0,9.19042561882199e-05,0
"243","Antigua and Barbuda",2020-03-28,0,7,97928,"ATG",0,7.14810881463933e-05,0
"244","Antigua and Barbuda",2020-04-06,0,15,97928,"ATG",0,0.0001531737603137,0
"245","Antigua and Barbuda",2020-03-29,0,7,97928,"ATG",0,7.14810881463933e-05,0
"246","Antigua and Barbuda",2020-04-17,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"247","Antigua and Barbuda",2020-04-15,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"248","Antigua and Barbuda",2020-04-12,2,21,97928,"ATG",2.04231680418266e-05,0.00021444326443918,0.0952380952380952
"249","Antigua and Barbuda",2020-04-19,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"250","Antigua and Barbuda",2020-04-18,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
"251","Antigua and Barbuda",2020-04-16,2,23,97928,"ATG",2.04231680418266e-05,0.000234866432481006,0.0869565217391304
